,Genre,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,Genre
,blues,0.137393494,0.145432277,0.025468571,0.11820927,0.093332619,0.103976008,0.201105725,0.178900104,0.180359181,0.167878474,0.187326897,0.181905079,0.100502283,0.072844787,0.023438099,0.147974335,0.130407597,0.099695166,0.074334051,0.112629219,0.096142277,0.131044757,0.107813363,0.072172619,0.132707624,0.090169529,0.058086763,0.12580856,0.146536932,0.111894719,0.123516374,0.146409642,0.159519997,0.145655426,0.153159277,0.136556135,0.17404894,0.181688674,0.17190044,0.165018471,0.175033398,0.156611901,0.138520156,0.071453765,0.033972592,0.035725939,0.125823408,0.10588175,0.109869165,0.135944813,0.094322785,0.058369557,0.053886431,0.019098518,
,classical,0.150291226,0.171929057,0.125863239,0.088968987,0.046328736,0.050287457,0.107423692,0.08018418,0.080311929,0.115159982,0.103874466,0.119278258,0.040772334,0.027521743,0.003297819,0.140715401,0.175088082,0.200207336,0.094716429,0.083023819,0.042486036,0.094116265,0.080726351,0.028972865,0.089695758,0.077464315,0.033666877,0.097480195,0.143830945,0.114299246,0.128904144,0.109603871,0.086387635,0.095213628,0.110967753,0.072342542,0.099885691,0.110219857,0.053478292,0.164885149,0.106348707,0.10145401,0.101052707,0.063719989,0.022382809,0.014929973,0.118266744,0.065146848,0.031666983,0.04756075,0.009727191,0.183381016,0.153452069,0.121984938,
,country,0.123383216,0.132626003,0.025780693,0.083085882,0.064636727,0.070527814,0.195853701,0.123080803,0.129262403,0.223912439,0.195586376,0.225571843,0.085656208,0.060740322,0.017354847,0.124138839,0.131064546,0.090220873,0.078270373,0.081354705,0.06079254,0.124316749,0.065711157,0.033807193,0.148591466,0.093442674,0.067166659,0.169950966,0.114540765,0.095561068,0.153284229,0.212433844,0.189675491,0.162757389,0.11356195,0.104094623,0.138034396,0.135318713,0.104434542,0.174751687,0.196599375,0.217543124,0.119149635,0.081683611,0.045325073,0.001321986,0.141335201,0.124220761,0.034116605,0.091218382,0.045186484,0.056876623,0.051232072,0.018613518,
,disco,0.06208745,0.062008045,0.026097326,0.095346238,0.087099136,0.094039212,0.12183929,0.107534398,0.10868958,0.096344165,0.115465455,0.105245447,0.084505436,0.094019979,0.063413395,0.093384728,0.090745265,0.049026931,0.085868604,0.125141661,0.118544394,0.109146135,0.10890197,0.087664499,0.123255307,0.098519158,0.080844557,0.13620294,0.135923927,0.125857535,0.113900855,0.269161825,0.262898831,0.130487319,0.118990708,0.116012734,0.118397839,0.124196356,0.106683738,0.106416493,0.086786028,0.065617002,0.119502974,0.100018059,0.073382144,0.075353018,0.119206094,0.094920403,0.087242036,0.115149006,0.093776321,0.038405457,0.039841864,0.014220502,
,hiphop,0.116977064,0.127699959,0.03033893,0.095666278,0.106601305,0.115889641,0.15399024,0.16530018,0.168422076,0.135671536,0.155842432,0.1471867,0.156352972,0.195148516,0.147366775,0.092425452,0.078652194,0.045558439,0.167090286,0.15075932,0.163450166,0.148457643,0.205369139,0.223889039,0.122791366,0.152833341,0.147766831,0.132899571,0.176278796,0.166022236,0.107801717,0.278673602,0.275636792,0.126178246,0.176324711,0.188411681,0.138365388,0.158881619,0.15770815,0.135256749,0.130144535,0.105872557,0.125387014,0.1406263,0.118122738,0.038057376,0.17631921,0.166348532,0.085485202,0.172026371,0.171326706,0.053888999,0.040804698,0.013177397,
,jazz,0.155676664,0.16120106,0.031174065,0.110745709,0.068844895,0.076735213,0.13611988,0.122941215,0.127099907,0.158979644,0.150441095,0.165795022,0.068808328,0.062983468,0.016841334,0.114061974,0.148613261,0.120409823,0.060956145,0.097222717,0.072855746,0.116658027,0.093694182,0.04784224,0.175984865,0.116473649,0.087129856,0.217071018,0.132333225,0.095916064,0.142678759,0.164586889,0.137652432,0.196148592,0.138404109,0.125939625,0.108649395,0.113525281,0.064708318,0.153840511,0.135939664,0.130305845,0.145500541,0.11738729,0.079399561,0.062883267,0.14280406,0.097089268,0.048724016,0.07254059,0.024092124,0.074979449,0.080706867,0.041643537,
,metal,0.109267098,0.120480415,0.026523418,0.105755308,0.13639866,0.132775296,0.131747575,0.143712909,0.134246304,0.08994164,0.120211499,0.101575039,0.12805833,0.090015831,0.029925622,0.098227562,0.053968104,0.027244833,0.056971491,0.094293913,0.061386731,0.163992989,0.098929685,0.050924943,0.095276691,0.071226758,0.039642196,0.077264941,0.103251308,0.063704531,0.052794713,0.094872321,0.122224121,0.079985401,0.082603523,0.051840111,0.204623673,0.201482408,0.222112836,0.111517524,0.094745715,0.068256961,0.1343174,0.063808594,0.032544939,0.025655123,0.1707561,0.1423965,0.10961595,0.127156855,0.092146368,0.1001515,0.076972424,0.031339224,
,pop,0.104429922,0.111063767,0.042434929,0.112108051,0.081469177,0.089573809,0.166866521,0.148071532,0.150578004,0.152258507,0.16136982,0.162248598,0.151861668,0.178021658,0.148531478,0.120922503,0.08383674,0.045524197,0.104139576,0.117958545,0.109053913,0.142129771,0.174267634,0.179683186,0.150162319,0.125801727,0.138900437,0.121610467,0.127296802,0.125888974,0.08784601,0.058288561,0.037943713,0.154509805,0.130397571,0.155547296,0.145521977,0.16732368,0.180941661,0.141127706,0.154831119,0.14126649,0.14558985,0.15200269,0.145291596,0.030884161,0.147090824,0.153011784,0.065368906,0.183043494,0.183577805,0.059115488,0.062330355,0.02750685,
,rock,0.104840994,0.113074176,0.034398892,0.090346551,0.091541302,0.098272695,0.152218269,0.133926587,0.133765733,0.150644563,0.153291956,0.159484882,0.072986873,0.051802309,0.01124949,0.101717398,0.100564771,0.061464983,0.072866517,0.118922548,0.093223331,0.111469417,0.090115368,0.046922399,0.124540952,0.123984859,0.099018555,0.132522329,0.171641833,0.166516386,0.142176309,0.281487757,0.259793469,0.127716397,0.157488352,0.164951848,0.142730049,0.142449755,0.117968378,0.156684235,0.127329122,0.11624346,0.137664416,0.092823585,0.052532318,0.032323439,0.116452852,0.084481547,0.083651357,0.095605128,0.050542713,0.059121395,0.049724865,0.018099437,
,reggae,0.133863979,0.138870027,0.01815596,0.120621373,0.104616878,0.109644899,0.123400682,0.117372466,0.124488693,0.109598941,0.117693807,0.118645047,0.095775476,0.115955659,0.065638699,0.111316792,0.104737726,0.073940937,0.104217337,0.123070068,0.134583725,0.127564744,0.134300349,0.126569673,0.161983474,0.148890375,0.15928113,0.149426776,0.149864341,0.151412951,0.138693186,0.226710806,0.199296114,0.150877433,0.157528611,0.178449166,0.116958326,0.132493307,0.122947334,0.124627009,0.130327646,0.115764934,0.158812029,0.146548609,0.130961118,0.033439569,0.140507223,0.12103294,0.097467122,0.127693485,0.115538977,0.034793985,0.036888101,0.012826016,
1,jazz,0.534055728,0.587284621,0.514280423,0.231270761,0.731706238,0.688900281,0.398430875,0.617359214,0.562007152,0.621050152,0.596467501,0.435314647,0.0650158,0.044055962,0.001974982,0.580552562,0.328243099,0.155973771,0.468887369,0.276375623,0.11629036,0.236164031,0.192941561,0.04103906,0.25472996,0.115947149,0.02339918,0.335953156,0.197758772,0.074264603,0.66753665,0.449927112,0.31102333,0.311234596,0.204880048,0.054861565,0.210983088,0.233407354,0.059129842,0.629355685,0.422110766,0.26905055,0.176714917,0.10516645,0.018155837,0.615913902,0.288849598,0.093074526,0.465989828,0.129091352,0.017601063,0.07108552,0.061554459,0.011491906,jazz
2,metal,0.339912281,0.416891131,0.478902129,0.620377068,0.378740395,0.327433999,0.558284618,0.383114769,0.327736693,0.793987791,0.406748309,0.245186973,0.257101561,0.132611132,0.01767872,0.890525602,0.097589349,0.028786432,0.430497529,0.141961289,0.044458903,0.560300209,0.218587857,0.051962786,0.600008151,0.121032892,0.024981288,0.551209161,0.131143073,0.042448031,0.491620619,0.895392377,0.842823537,0.597318115,0.18044109,0.044256468,0.776642784,0.778390415,0.610375365,0.467382318,0.268782433,0.1454609,0.612323356,0.130357676,0.025541195,0.633803492,0.522069367,0.284266587,0.541692146,0.461730012,0.21526485,0.023801311,0.020120501,0.003033893,metal
3,hiphop,0.38277512,0.458434877,0.487922412,0.619503309,0.605236457,0.553138715,0.648185194,0.55318123,0.49526458,0.807700937,0.388567509,0.229497719,0.03827615,0.079906953,0.00644457,0.663143655,0.309101898,0.142255863,0.456620251,0.475167333,0.2755465,0.153350521,0.26109203,0.072892672,0.676662211,0.340978409,0.138090993,0.65313782,0.090580539,0.026458863,0.527490393,0.741668555,0.634136288,0.6973847,0.152383944,0.033437672,0.140023087,0.172645213,0.033519151,0.639221785,0.304500606,0.171615497,0.515686375,0.41689582,0.192132754,0.631285851,0.137856998,0.024582288,0.494569607,0.203477195,0.042752994,0.033274073,0.036970764,0.006114574,hiphop
4,reggae,0.40726817,0.481836191,0.482343421,0.516220664,0.781418776,0.744175019,0.44201851,0.770177136,0.728701943,0.641372241,0.577117099,0.413715308,0.142042859,0.141645381,0.020161724,0.723352283,0.296413969,0.133478327,0.554522462,0.579075741,0.383966537,0.33916641,0.36616402,0.139758645,0.31918989,0.4371939,0.215036146,0.411763223,0.472744814,0.278721753,0.566329439,0.629308716,0.498382147,0.382016371,0.532031414,0.30275128,0.29036579,0.353004912,0.130549028,0.408823932,0.395152905,0.245183705,0.222410175,0.325100772,0.122235225,0.589421634,0.372607298,0.149807472,0.359048981,0.309396663,0.09750612,0.075622894,0.082622819,0.016933866,reggae
5,classical,0.534055728,0.435503869,0.465763641,0.14470053,0.662494216,0.613739116,0.28228696,0.611838479,0.556189936,0.387374596,0.783161622,0.669461678,0.003051562,0.003284316,1.34E-05,0.363904793,0.701300622,0.537642049,0.355872563,0.132889413,0.04065281,0.041553339,0.039058799,0.002444574,0.098368464,0.117645705,0.023922384,0.082246567,0.200844042,0.075905564,0.675993573,0.1514737,0.079337343,0.119598894,0.185679678,0.046437086,0.032254969,0.033776143,0.001989111,0.892047802,0.584659152,0.432289406,0.154428659,0.081301861,0.012241832,0.633772606,0.053433167,0.005228483,0.551939725,0.00683566,0.000103277,0.251227214,0.191691923,0.057407656,classical
6,classical,0.46398892,0.533584163,0.47939917,0.111823827,0.737034226,0.694772846,0.361925178,0.625204283,0.570298116,0.542246919,0.666109333,0.5171998,0.044709148,0.074003119,0.005531871,0.458869308,0.355315736,0.176353363,0.372955971,0.276021124,0.116062874,0.193864721,0.250577175,0.067386821,0.272640615,0.078205597,0.013117662,0.250174075,0.242814024,0.099700048,0.713330831,0.468754422,0.328991372,0.250130755,0.149281845,0.03233052,0.151842577,0.168598265,0.032068861,0.864768667,0.445980626,0.29094471,0.342194885,0.139602586,0.028545872,0.616907043,0.267374105,0.08068206,0.517998774,0.087080616,0.008245227,0.083423992,0.072403834,0.014198216,classical
7,classical,0.287524366,0.319053116,0.443919656,0.018705229,0.734139948,0.691581215,0.369947148,0.626384149,0.571547533,0.467005301,0.725842258,0.592608126,0.034511257,0.04589494,0.002141752,0.475913447,0.523837381,0.328964231,0.427804312,0.143497749,0.045116569,0.199819267,0.21990964,0.052560558,0.320254648,0.231122409,0.070676796,0.20717001,0.168323553,0.05935404,0.819714149,0.548523199,0.409533664,0.293102253,0.240902275,0.072498803,0.099829607,0.117588782,0.016524178,0.966310583,0.500742464,0.34387589,0.432014752,0.316087054,0.116211853,0.619725517,0.292121962,0.095040034,0.511325928,0.033060627,0.001358832,0.136996842,0.179948366,0.052059274,classical
8,reggae,0.434210527,0.461427737,0.465024387,0.404279634,0.824028406,0.792409878,0.469190918,0.792762463,0.75426642,0.669536684,0.549215508,0.38345371,0.139832779,0.146683584,0.021617283,0.742542898,0.333297233,0.159691451,0.49750552,0.634289377,0.448610097,0.337730542,0.332198168,0.115787326,0.276233958,0.404552781,0.187058897,0.439717481,0.484251301,0.289843067,0.597576725,0.600357878,0.465699576,0.358930061,0.602232212,0.381631941,0.255410282,0.310429402,0.101930511,0.601727077,0.485203764,0.328474243,0.138608656,0.253333076,0.078440893,0.554207667,0.400341377,0.17154005,0.298940033,0.26980624,0.074436447,0.046726988,0.051327343,0.009127623,reggae
9,pop,0.434210527,0.491114056,0.496180228,0.444011189,0.89064533,0.869408047,0.415425448,0.812446483,0.776741856,0.608621169,0.608001192,0.44842728,0.53539721,0.594204136,0.353273527,0.817579233,0.096939003,0.028545342,0.404341837,0.518390077,0.318546344,0.676326025,0.759799672,0.581764021,0.75741459,0.655641217,0.451793431,0.917713077,0.402621055,0.215401111,0.342749008,0.216183332,0.121081613,0.871881584,0.583145032,0.359286313,0.531997611,0.687378218,0.478074392,0.908547328,0.487753366,0.330980577,0.45186739,0.520416217,0.289653098,0.632013081,0.777755237,0.613015557,0.567704774,0.65598718,0.432198953,0.099105792,0.067297308,0.012899009,pop
10,classical,0.534055728,0.605555318,0.513770554,0.192961005,0.67224172,0.624198078,0.402801048,0.573676416,0.516368988,0.554876203,0.655475808,0.504276753,0.001623698,0.001374025,3.00E-06,0.282989138,0.664936987,0.490873693,0.455131321,0.1152202,0.033617928,0.02875905,0.029232506,0.001549361,0.166596987,0.120486933,0.02480921,0.245646852,0.177296028,0.063756177,0.500762973,0.164896511,0.087610049,0.178437373,0.157089102,0.03515079,0.02522837,0.027428017,0.001445673,0.29097217,0.488572098,0.331787109,0.153706039,0.087157427,0.013595448,0.633795223,0.034216586,0.00272131,0.551108769,0.008284667,0.000137,0.085254862,0.089466634,0.018867177,classical
11,pop,0.321052632,0.400444653,0.497450508,0.713512921,0.730039267,0.68706548,0.687682806,0.62646785,0.571636197,0.750662365,0.460502879,0.294163832,0.74377673,0.948301362,0.899315115,0.929952985,0.068725578,0.018722551,0.489905876,0.544705173,0.346190486,0.78490774,0.940078792,0.885127337,0.800313517,0.564961465,0.34305235,0.910707572,0.396741663,0.210439945,0.270949976,0.200749021,0.110698076,0.886474627,0.527290439,0.297751307,0.564860594,0.682081694,0.47087188,0.574251652,0.121279466,0.054409758,0.531082361,0.595829496,0.373171813,0.633951841,0.823158613,0.684421936,0.547924083,0.775308733,0.602554677,0.021413219,0.024643834,0.003812556,pop
12,country,0.360411899,0.424601308,0.4768543,0.396291944,0.66967614,0.621441227,0.273647492,0.636201143,0.581968555,0.506044486,0.695590891,0.553820927,0.28311634,0.171685511,0.029590904,0.806442659,0.248731227,0.102740299,0.557466151,0.360788025,0.176186431,0.515143304,0.327504775,0.112651985,0.234035135,0.300440316,0.110677302,0.324497127,0.391943299,0.206430858,0.697292739,0.592825617,0.457350644,0.297479641,0.395862685,0.17562447,0.487410896,0.54802544,0.306770133,0.884419917,0.604913911,0.454953474,0.163294191,0.150608704,0.03232905,0.63400729,0.580944226,0.348921713,0.549415939,0.366439206,0.136211534,0.083981214,0.10283062,0.022876417,country
13,metal,0.434210527,0.443199795,0.437386553,0.635838682,0.499359278,0.444846785,0.828514464,0.303203043,0.253698572,0.894387626,0.255638936,0.128234852,0.090711506,0.060160198,0.003664968,0.788862566,0.151945711,0.051272871,0.417057441,0.149729356,0.047822695,0.339790558,0.146960333,0.024666796,0.595254006,0.097567612,0.018070942,0.470468924,0.063743569,0.017288094,0.485137913,0.779780691,0.683402329,0.55963561,0.070376533,0.010127872,0.445577209,0.445455022,0.204851045,0.603051033,0.122719911,0.055166945,0.697608934,0.224652988,0.063603253,0.532514294,0.30542369,0.103239674,0.205471261,0.270729619,0.074939111,0.025950593,0.029777604,0.004739269,metal
14,classical,0.46398892,0.557455784,0.51181258,0.168408676,0.672181909,0.624133773,0.369341021,0.604171247,0.548134625,0.525637982,0.679814158,0.534078764,0.009576778,0.009953643,0.000107043,0.431781027,0.51480768,0.319661905,0.549734288,0.192638732,0.068144293,0.07338234,0.112869802,0.015191234,0.244952324,0.117684411,0.023934367,0.280171437,0.11847541,0.037179561,0.707936382,0.309462657,0.189527341,0.280629638,0.15381118,0.033953011,0.066863316,0.085921214,0.009423897,0.75523831,0.488991198,0.332200315,0.225675404,0.116270532,0.021266602,0.632995594,0.107223537,0.015989239,0.546447687,0.023274715,0.000730739,0.165813145,0.14003417,0.035668031,classical
15,country,0.245614035,0.287784856,0.450546398,0.431295163,0.627275018,0.576294626,0.114795808,0.823662113,0.789629189,0.141595625,0.93069847,0.887514315,0.36787418,0.279752674,0.078424482,0.909588214,0.043825228,0.011086509,0.510623001,0.215231385,0.080028594,0.624144953,0.159601575,0.028756748,0.576374347,0.306341119,0.114483154,0.74647742,0.303119543,0.138690722,0.437284323,0.113152537,0.056832246,0.690170133,0.432021213,0.206051809,0.578271124,0.585445399,0.349054744,0.185078084,0.825455634,0.73505095,0.338064204,0.216117119,0.059480955,0.630588948,0.749185118,0.570097192,0.457682279,0.315425206,0.101291713,0.086130496,0.095729466,0.020707505,country
16,disco,0.575657895,0.625080166,0.481713786,0.373709111,0.749320645,0.708362234,0.322101699,0.734636194,0.688956978,0.469471997,0.723975345,0.590178958,0.217818727,0.181770378,0.033160731,0.748140417,0.240081873,0.097545273,0.379204673,0.411302869,0.21748577,0.433033133,0.353796541,0.130769746,0.312025951,0.422123667,0.201880117,0.595119777,0.618527232,0.434861522,0.50273319,0.332957909,0.208307348,0.394138207,0.728276409,0.546039626,0.369659343,0.42112042,0.183678882,0.311152083,0.576273916,0.423057438,0.1270975,0.183461376,0.044953872,0.633807869,0.505638371,0.267401662,0.550745468,0.283105462,0.081839269,0.171146549,0.157056021,0.04232055,disco
17,pop,0.40726817,0.490829022,0.495755134,0.256725774,0.655146273,0.605882245,0.34014641,0.59858995,0.542288152,0.577183371,0.636223188,0.481264039,0.140024932,0.103716503,0.010832279,0.828478856,0.169213524,0.059382582,0.520362273,0.332859757,0.155106789,0.35132174,0.262528441,0.073661559,0.496567462,0.395134701,0.179344148,0.782555553,0.481322751,0.286992994,0.386320812,0.164968196,0.087654772,0.659313607,0.574749913,0.349670498,0.314131931,0.340389641,0.121701129,0.506133545,0.546295621,0.390773529,0.247352507,0.207089749,0.05526788,0.633786225,0.390319996,0.163518067,0.533181767,0.250981408,0.064557564,0.058508239,0.057875799,0.010620604,pop
18,pop,0.321052632,0.39093876,0.480493846,0.530312257,0.815497056,0.782688862,0.535974077,0.786119166,0.746722025,0.717914298,0.497967743,0.330586986,0.449546825,0.601022674,0.36142215,0.71273374,0.096821823,0.028501972,0.524118892,0.539893872,0.341053373,0.579591925,0.83600747,0.702265186,0.872197772,0.649204673,0.443585304,0.943368438,0.287045651,0.127744684,0.273467436,0.219563635,0.12339143,0.947368421,0.381058009,0.163861174,0.460859282,0.653461822,0.432898409,0.587989942,0.353698188,0.210261729,0.576367041,0.782231018,0.62473049,0.633691865,0.56308316,0.328608901,0.561621018,0.80940135,0.656415635,0.03606018,0.037252186,0.006170204,pop
19,metal,0.360411899,0.430458763,0.486542963,0.562296482,0.556622015,0.502808514,0.514374321,0.516771603,0.458258156,0.684811043,0.533514575,0.366883092,0.398536014,0.323990718,0.105147083,0.913957636,0.154080066,0.052250021,0.444406653,0.271955722,0.113468438,0.611743119,0.480922747,0.237398903,0.387641957,0.323591487,0.125969737,0.498265268,0.398486877,0.21190698,0.501611748,0.717631435,0.603902894,0.465411493,0.437488385,0.210861999,0.668433437,0.74783355,0.564156704,0.628997345,0.353020667,0.209708914,0.265529984,0.20074865,0.052398552,0.633314181,0.679557228,0.472017946,0.544666504,0.416809479,0.175754927,0.084299626,0.075533466,0.015016798,metal
